timestamp,ip,method,path,payload,label
07:20:30.9,10.0.0.79,POST,/auth/register,"{'csrf_token': 'ImeNICsn10RYCCIEk7jAK2oFEAfzTPe3pEFGPrFrKk'.uMG1d3tO.WM4ZFgpNEN2uayq8Add7Q7aNJ6eb, 'username': 'newuser23', 'email': 'a20@b.com', 'password': '9sxV$Fq5&Zyx', 'submit': 'Register'}",0
07:20:33.6,10.0.0.146,GET,/product/2,,0
07:20:35.1,192.168.1.18,GET,/auth/logout,,0
07:20:36.9,10.0.0.146,POST,/auth/login,"{'csrf_token': 'ImT3KquVvKOjk0A5vSA5CGc7B76XzIHULVWFPFKqag'.v5ERV3Uv.mRUL0MKdmcZwoEsmXEYUVm0DjrIu, 'username': 'user53', 'password': 'KR2R07TPMws5', 'submit': 'Log in'}",0
07:20:39.5,203.162.4.190,GET,/product/1' AND 1=1,,1
07:20:40.9,10.0.0.67,GET,/auth/register,,0
07:20:43.0,103.75.118.228,POST,/search,{'query': 'product; cat /etc/passwd'},1
07:20:44.8,192.168.1.104,GET,/product/1,,0
07:20:47.5,192.168.1.50,GET,/auth/login,,0
07:20:49.1,192.168.1.46,GET,/auth/register,,0
07:20:51.2,203.162.4.191,POST,/auth/register,{'username': 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA'},1
07:20:53.5,192.168.1.50,POST,/auth/login,"{'csrf_token': 'Im5sRFh5V1fjrzxAzSEcma47w5dQbJp7UrOAy2Xx8q'.KQtmgeLr.-F7nbUj7eAsAXRiLYfr3ukgrCx9v, 'username': 'user77', 'password': 'sT7AL3y2qyIo', 'submit': 'Log in'}",0
07:20:55.3,203.162.4.190,POST,/auth/register,{'username': 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA'},1
07:20:56.9,203.162.4.190,GET,/../../../../etc/passwd,,1
07:20:59.3,203.162.4.191,POST,/order/checkout,"{'name': 'John Doe', 'address': '123 Ba Dinh', 'note': 'Giao hang gio hanh chinh'}",0
07:21:01.7,192.168.1.56,GET,/auth/login,,0
07:21:03.7,203.162.4.190,GET,/search?q=<script>alert('XSS')</script>,,1
07:21:05.3,203.162.4.191,GET,/,,0
